initials,date,course_id,time (m),summary
LDC,01/09/2023,DS-160-01,90,Set up GitHub repository and made flashcards on class slides.
LDC,01/09/2023,MATH-352-01,120,Class Work Notes
LDC,01/10/2023,MATH-321-01,30,Read Chapter 1.1 and 1.2
LDC,01/10/2023,PSYC-218-02,60,Chapter 1 Vocabulary List + Quiz
LDC,01/10/2023,MATH-321-01,90,Homework Questions
LDC,01/10/2023,MATH-200-01,5,Read Chapter 1
LDC,01/11/2023,MATH-160-01,30,Set up GitHub repository and complete inclass assignment.
LDC,01/11/2023,PSYC-218-02,50,Chapter 2 Vocabulary List
LDC,01/11/2023,MATH-321-01,60,Homework Questions
LDC,01/12/2023,BUSA-103-02,10,Class Work Notes
LDC,01/12/2023,MATH-200-01,10,Practice Quiz
LDC,01/13/2023,PSYC-218-02,180,Chapter 2 Vocabulary List
LDC,01/14/2023,MATH-352-01,85,Class Work Notes
LDC,01/14/2023,PSYC-218-02,60,Extra Credit Work + Homework
LDC,01/14/2023,MATH-352-01,15,Class Work Notes
LDC,01/15/2023,DS-160-01,75,Project 2
LDC,01/15/2023,MATH-321-01,180,Homework Questions with group
LDC,01/16/2023,MATH-352-01,180,Homework Questions
LDC,01/17/2023,PSYC-218-02,15,Quiz on Moodle
LDC,01/17/2023,MATH-352-01,60,Homework Questions
LDC,01/18/2023,MATH-352-01,90,Homework Questions
LDC,01/19/2023,MATH-352-01,60,Write-Up Final Homework Questions
LDC,01/21/2023,MATH-352-01,120,"Homework Questions 1,2,3"
LDC,01/22/2023,DS-160-01,180,NumPy Revision
LDC,01/22/2023,MATH-352-01,90,Practice Questions in textbook
LDC,01/23/2023,MATH-321-01,60,Combinatorics Questions with group
LDC,01/23/2023,MATH-352-01,150,Notes + Homework Questions
LDC,01/24/2023,MATH-321-01,340,Homework Questions
LDC,01/25/2023,MATH-200-01,10,"Revise Chapter 1,2,3,4"
LDC,01/25/2023,MATH-352-01,120,Homework Questions + Write up final homework questions
LDC,01/25/2023,MATH-321-01,120,Write-Up Final Homework Questions
LDC,01/26/2023,MATH-352-01,120,Write-Up Final Homework Questions
LDC,01/27/2023,PSYC-218-02,240,Chapter 3 + 4 Vocabulary List & Quiz
LDC,01/28/2023,MATH-321-01,180,Notes + Homework Questions
LDC,01/28/2023,MATH-200-01,20,Practice Quiz
LDC,01/29/2023,DS-160-01,90,Individual Project 3
LDC,01/29/2023,BUSA-103-02,180,"Revise Chapter 1,2,3,5"
LDC,01/30/2023,DS-160-01,5,Upload In Class Assignment + Check work
LDC,01/30/2023,PSYC-218-02,20,Quiz on Moodle
LDC,01/30/2023,MATH-352-01,30,Notes
LDC,01/30/2023,BUSA-103-02,180,"Revise Chapter 1,2,3,4,5"
LDC,01/31/2023,MATH-352-01,80,Homework Questions
LDC,01/31/2023,MATH-200-01,5,Revise for Quiz
LDC,01/31/2023,BUSA-103-02,120,"Extra Credit Work + Revise Chapter 1, 2, 3, 4, 5"
LDC,02/01/2023,MATH-352-01,120,Homework Questions
LDC,02/01/2023,BUSA-103-02,60,"Revise Chapter 1,2,3,4,5"
LDC,02/02/2023,MATH-352-01,180,Homework Questions + Write up final homework questions
LDC,02/04/2023,DS-160-01,20,Fix error code in class notebook
LDC,02/04/2023,MATH-321-01,50,Homework Questions
LDC,02/05/2023,MATH-321-01,90,Homework Questions
LDC,02/05/2023,MATH-352-01,90,Notes
LDC,02/05/2023,PSYC-218-02,90,Term Paper + Reflection Project
LDC,02/06/2023,PSYC-218-02,180,Reflection Project
LDC,02/07/2023,PSYC-218-02,20,Reflection Project shorten + Hand in
LDC,02/07/2023,DS-160-01,180,Revision
LDC,02/08/2023,MATH-352-01,180,Revision
LDC,02/09/2023,MATH-352-01,210,Revision
LDC,02/10/2023,DS-160-01,240,Individual Project 4
LDC,02/10/2023,MATH-200-01,60,Excel Homework
LDC,02/11/2023,MATH-321-01,60,Combinatorics Exam
LDC,02/11/2023,PSYC-218-02,120,Quiz and Outline of Term Paper
LDC,02/12/2023,BUSA-103-02,120,Excel Homework
LDC,02/12/2023,MATH-321-01,60,Revision
LDC,02/13/2023,MATH-321-01,180,Revision
LDC,02/14/2023,MATH-321-01,180,Revision
LDC,02/15/2023,MATH-321-01,180,Revision
LDC,02/16/2023,MATH-321-01,180,Revision
